[30/01/2025 18:46:16,73]  
[16/02/2025 10:15:54,16] Iniciando backup do banco de dados. 
[16/02/2025 10:15:54,16] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[16/02/2025 10:15:54,16] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[16/02/2025 10:17:42,97] Iniciando backup do banco de dados. 
[16/02/2025 10:17:42,97] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[16/02/2025 10:17:42,98] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[16/02/2025 11:26:50,13] Iniciando backup do banco de dados. 
[16/02/2025 11:26:50,13] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[16/02/2025 11:26:50,13] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[16/02/2025 14:39:40,17] Iniciando backup do banco de dados. 
[16/02/2025 14:39:40,17] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[16/02/2025 14:39:40,17] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[17/02/2025 15:36:08,27] Iniciando restauracao do banco de dados. 
[17/02/2025 15:36:08,27] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[17/02/2025 21:06:27,95] Iniciando backup do banco de dados. 
[17/02/2025 21:06:27,95] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[17/02/2025 21:06:27,95] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[18/02/2025  6:42:52,32] Iniciando backup do banco de dados. 
[18/02/2025  6:42:52,32] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[18/02/2025  6:42:52,32] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[18/02/2025 14:39:53,96] Iniciando restauracao do banco de dados. 
[18/02/2025 14:39:53,96] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[18/02/2025 15:29:40,77] Iniciando backup do banco de dados. 
[18/02/2025 15:29:40,77] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[18/02/2025 15:29:40,77] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[18/02/2025 20:51:02,08] Iniciando backup do banco de dados. 
[18/02/2025 20:51:02,08] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[18/02/2025 20:51:02,08] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[21/02/2025  7:42:15,51] Iniciando restauracao do banco de dados. 
[21/02/2025  7:42:15,51] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[22/02/2025 18:12:23,84] Iniciando backup do banco de dados. 
[22/02/2025 18:12:23,84] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[22/02/2025 18:12:23,84] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[22/02/2025 23:07:42,24] Iniciando backup do banco de dados. 
[22/02/2025 23:07:42,24] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[22/02/2025 23:07:42,24] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[25/02/2025  6:24:30,40] Iniciando restauracao do banco de dados. 
[25/02/2025  6:24:30,40] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[25/02/2025 15:40:04,38] Iniciando restauracao do banco de dados. 
[25/02/2025 15:40:04,38] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[25/02/2025 15:41:33,57] Iniciando restauracao do banco de dados. 
[25/02/2025 15:41:33,57] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[25/02/2025 17:01:09,46] Iniciando backup do banco de dados. 
[25/02/2025 17:01:09,46] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[25/02/2025 17:01:09,46] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[25/02/2025 20:45:44,64] Iniciando backup do banco de dados. 
[25/02/2025 20:45:44,64] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[25/02/2025 20:45:44,64] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[25/02/2025 20:46:59,91] Iniciando backup do banco de dados. 
[25/02/2025 20:46:59,91] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[25/02/2025 20:46:59,91] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[26/02/2025 14:20:53,20] Iniciando restauracao do banco de dados. 
[26/02/2025 14:20:53,20] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[06/03/2025 15:31:10,65] Iniciando restauracao do banco de dados. 
[06/03/2025 15:31:10,65] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[06/03/2025 22:48:37,37] Iniciando backup do banco de dados. 
[06/03/2025 22:48:37,37] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[06/03/2025 22:48:37,37] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[08/03/2025 20:49:57,54] Iniciando backup do banco de dados. 
[08/03/2025 20:49:57,54] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[08/03/2025 20:49:57,54] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[09/03/2025  8:28:56,77] Iniciando backup do banco de dados. 
[09/03/2025  8:28:56,77] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[09/03/2025  8:28:56,77] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[09/03/2025 20:24:53,77] Iniciando backup do banco de dados. 
[09/03/2025 20:24:53,77] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[09/03/2025 20:24:53,77] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[09/03/2025 22:37:37,78] Iniciando backup do banco de dados. 
[09/03/2025 22:37:37,78] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[09/03/2025 22:37:37,78] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[09/03/2025 23:04:47,11] Iniciando backup do banco de dados. 
[09/03/2025 23:04:47,11] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[09/03/2025 23:04:47,11] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[10/03/2025 18:50:37,54] Iniciando restauracao do banco de dados. 
[10/03/2025 18:50:37,54] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[10/03/2025 23:12:19,83] Iniciando backup do banco de dados. 
[10/03/2025 23:12:19,83] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[10/03/2025 23:12:19,83] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
[11/03/2025 13:24:49,79] Iniciando restauracao do banco de dados. 
[11/03/2025 13:24:49,79] Banco de dados restaurado com sucesso a partir de "H:\Meu Drive\NADIR_2025\Backup\backup_redeescola.sql". 
